item,itemLabel,itemDescription,place,placeLabel,place_of_birth,place_of_birthLabel,place_of_death,place_of_deathLabel,date_of_death,date_of_deathLabel,dob,dobLabel,coord_birth,coord_death
http://www.wikidata.org/entity/Q67758,Carl August Walbrodt,Duits schaker (1871-1902),,,http://www.wikidata.org/entity/Q727,Amsterdam,http://www.wikidata.org/entity/Q64,Berlijn,1902-10-03T00:00:00Z,1902-10-03T00:00:00Z,1871-11-28T00:00:00Z,1871-11-28T00:00:00Z,Point(4.9 52.383333333),Point(13.383333333 52.516666666)
http://www.wikidata.org/entity/Q68121,Carl Heinrich Becker,Duits politicus,,,http://www.wikidata.org/entity/Q727,Amsterdam,http://www.wikidata.org/entity/Q700211,Berlin-Steglitz,1933-02-10T00:00:00Z,1933-02-10T00:00:00Z,1876-04-12T00:00:00Z,1876-04-12T00:00:00Z,Point(4.9 52.383333333),Point(13.333333333 52.466666666)
http://www.wikidata.org/entity/Q78371,Hermann Brockhaus,Duits oriëntalist (1806-1877),,,http://www.wikidata.org/entity/Q727,Amsterdam,http://www.wikidata.org/entity/Q2079,Leipzig,1877-01-05T00:00:00Z,1877-01-05T00:00:00Z,1806-01-28T00:00:00Z,1806-01-28T00:00:00Z,Point(4.9 52.383333333),Point(12.383333333 51.333333333)
http://www.wikidata.org/entity/Q85408,Bernhard Egidius Konrad ten Brink,Duits taalkundige (1841-1892),,,http://www.wikidata.org/entity/Q727,Amsterdam,http://www.wikidata.org/entity/Q6602,Straatsburg,1892-01-29T00:00:00Z,1892-01-29T00:00:00Z,1841-01-12T00:00:00Z,1841-01-12T00:00:00Z,Point(4.9 52.383333333),Point(7.752222222 48.573333333)
http://www.wikidata.org/entity/Q86884,Reiner Schürmann,Duits filosoof,,,http://www.wikidata.org/entity/Q727,Amsterdam,http://www.wikidata.org/entity/Q60,New York,1993-08-20T00:00:00Z,1993-08-20T00:00:00Z,1941-02-04T00:00:00Z,1941-02-04T00:00:00Z,Point(4.9 52.383333333),Point(-73.94 40.67)
http://www.wikidata.org/entity/Q95451,Agneta Matthes,Nederlands onderneemster (1847-1909),,,http://www.wikidata.org/entity/Q727,Amsterdam,http://www.wikidata.org/entity/Q690,Delft,1909-10-05T00:00:00Z,1909-10-05T00:00:00Z,1847-10-04T00:00:00Z,1847-10-04T00:00:00Z,Point(4.9 52.383333333),Point(4.359444444 52.011944444)
http://www.wikidata.org/entity/Q98028,Theodor Rehbock,Duits ingenieur (1864-1950),,,http://www.wikidata.org/entity/Q727,Amsterdam,http://www.wikidata.org/entity/Q1040,Karlsruhe,1950-08-17T00:00:00Z,1950-08-17T00:00:00Z,1864-04-12T00:00:00Z,1864-04-12T00:00:00Z,Point(4.9 52.383333333),Point(8.4 49.016666666)
http://www.wikidata.org/entity/Q100913,Lin Jaldati,Nederlands zangeres (1912-1988),,,http://www.wikidata.org/entity/Q727,Amsterdam,http://www.wikidata.org/entity/Q56037,Oost-Berlijn,1988-08-31T00:00:00Z,1988-08-31T00:00:00Z,1912-12-13T00:00:00Z,1912-12-13T00:00:00Z,Point(4.9 52.383333333),Point(13.404444444 52.518611111)
http://www.wikidata.org/entity/Q102581,Heinrich Wilhelm Grauert,Duits historicus (1804-1852),,,http://www.wikidata.org/entity/Q727,Amsterdam,http://www.wikidata.org/entity/Q1741,Wenen,1852-01-10T00:00:00Z,1852-01-10T00:00:00Z,1804-03-25T00:00:00Z,1804-03-25T00:00:00Z,Point(4.9 52.383333333),Point(16.373064 48.20833)
http://www.wikidata.org/entity/Q108514,Menachem Pinkhof,Nederlands onderwijzer (1920-1969),,,http://www.wikidata.org/entity/Q727,Amsterdam,http://www.wikidata.org/entity/Q41621,Haifa,1969-07-15T00:00:00Z,1969-07-15T00:00:00Z,1920-01-01T00:00:00Z,1920-01-01T00:00:00Z,Point(4.9 52.383333333),Point(34.983333333 32.8)
