item,itemLabel,itemDescription,place,placeLabel,place_of_birth,place_of_birthLabel,place_of_death,place_of_deathLabel,date_of_death,date_of_deathLabel,dob,dobLabel,coord_birth,coord_death
http://www.wikidata.org/entity/Q355213,Gabriël Metsu,Nederlands kunstschilder,,,http://www.wikidata.org/entity/Q43631,Leiden,http://www.wikidata.org/entity/Q727,Amsterdam,1667-10-24T00:00:00Z,1667-10-24T00:00:00Z,1629-01-01T00:00:00Z,1629-01-01T00:00:00Z,Point(4.4836 52.15274),Point(4.9 52.383333333)
http://www.wikidata.org/entity/Q355406,Paulus Potter,kunstschilder uit Republiek der Zeven Verenigde Nederlanden (1625-1654),,,http://www.wikidata.org/entity/Q9918,Enkhuizen,http://www.wikidata.org/entity/Q727,Amsterdam,1654-01-17T00:00:00Z,1654-01-17T00:00:00Z,1625-11-20T00:00:00Z,1625-11-20T00:00:00Z,Point(5.283333333 52.7),Point(4.9 52.383333333)
http://www.wikidata.org/entity/Q367599,Adriaan Kortlandt,Nederlands bioloog (1918-2009),,,http://www.wikidata.org/entity/Q34370,Rotterdam,http://www.wikidata.org/entity/Q727,Amsterdam,2009-10-18T00:00:00Z,2009-10-18T00:00:00Z,1918-01-25T00:00:00Z,1918-01-25T00:00:00Z,Point(4.479166666 51.930833333),Point(4.9 52.383333333)
http://www.wikidata.org/entity/Q367612,Adriaan Morriën,Nederlands schrijver,,,http://www.wikidata.org/entity/Q9970,Velsen,http://www.wikidata.org/entity/Q727,Amsterdam,2002-06-07T00:00:00Z,2002-06-07T00:00:00Z,1912-06-05T00:00:00Z,1912-06-05T00:00:00Z,Point(4.616666666 52.466666666),Point(4.9 52.383333333)
http://www.wikidata.org/entity/Q367807,Adriaen Pauw,,,,http://www.wikidata.org/entity/Q84125,Gouda,http://www.wikidata.org/entity/Q727,Amsterdam,1578-10-08T00:00:00Z,1578-10-08T00:00:00Z,1516-01-13T00:00:00Z,1516-01-13T00:00:00Z,Point(4.716666666 52.016666666),Point(4.9 52.383333333)
http://www.wikidata.org/entity/Q367807,Adriaen Pauw,,,,http://www.wikidata.org/entity/Q84125,Gouda,http://www.wikidata.org/entity/Q727,Amsterdam,1578-10-08T00:00:00Z,1578-10-08T00:00:00Z,1516-01-13T00:00:00Z,1516-01-13T00:00:00Z,Point(4.7079 52.01917),Point(4.9 52.383333333)
http://www.wikidata.org/entity/Q370129,Johannes Josephus Aarts,Nederlands kunstschilder,,,http://www.wikidata.org/entity/Q36600,Den Haag,http://www.wikidata.org/entity/Q727,Amsterdam,1934-10-19T00:00:00Z,1934-10-19T00:00:00Z,1871-08-18T00:00:00Z,1871-08-18T00:00:00Z,Point(4.3175 52.084166666),Point(4.9 52.383333333)
http://www.wikidata.org/entity/Q370567,Jan van der Heyden,Nederlands kunstschilder,,,http://www.wikidata.org/entity/Q244327,Gorinchem,http://www.wikidata.org/entity/Q727,Amsterdam,1712-03-28T00:00:00Z,1712-03-28T00:00:00Z,1637-03-05T00:00:00Z,1637-03-05T00:00:00Z,Point(4.97713 51.83873),Point(4.9 52.383333333)
http://www.wikidata.org/entity/Q370567,Jan van der Heyden,Nederlands kunstschilder,,,http://www.wikidata.org/entity/Q244327,Gorinchem,http://www.wikidata.org/entity/Q727,Amsterdam,1712-03-28T00:00:00Z,1712-03-28T00:00:00Z,1637-03-05T00:00:00Z,1637-03-05T00:00:00Z,Point(4.966666666 51.833333333),Point(4.9 52.383333333)
http://www.wikidata.org/entity/Q373124,Willem van de Sande Bakhuyzen,regisseur,,,http://www.wikidata.org/entity/Q1310,Arnhem,http://www.wikidata.org/entity/Q727,Amsterdam,2005-09-27T00:00:00Z,2005-09-27T00:00:00Z,1957-11-13T00:00:00Z,1957-11-13T00:00:00Z,Point(5.916666666 51.983333333),Point(4.9 52.383333333)
